Company,Valuation(US$ billions),Valuation date,Industry,Country/countries,Founder(s)
MoonPay,3.4,Nov-21,Cryptocurrency,United States,
Upstox,3.4,Aug-21,Financial technology,India,"Ravi Kumar, Kavitha Subramanian, Shrini Viswanath"
Unacademy,3.4,May-21,Educational technology,India,Gaurav Munjal
Plus.ai,3.3,Feb-22,Self-driving trucks,United States,
Starburst Data,3.3,Jun-21,Data analytics,United States,"Justin Borgman, Matt Fuller, Kamil Bajda-Pawlikowski, Anu Sudarsan, Wojciech Biela, Grzegorz Kokosiński, Lukasz Osipiuk, Martin Traverso[210]"
Thumbtack,3.2,Jun-21,Software,United States,Marco Zappacosta
ApplyBoard,3.2,Aug-21,Educational technology,Canada,"Martin Basiri, Massi Basiri, Meti Basiri"
Blockstream,3.2,Nov-21,Blockchain,Canada,
ConsenSys,3.2,Jul-21,Blockchain,United States,
Cybereason,3.2,Sep-22,Cybersecurity,Israel / United States,
Verkada,3.2,Aug-21,Physical security,United States,"Filip Kailiszan, James Ren, Benjamin Bercowitz, Hans Robertson"
Eruditus,3.2,Sep-21,Educational technology,India,
SpotOn,3.15,Aug-21,Financial technology,United States,
TiendaNube,3.1,Nov-20,E-commerce,Argentina,
SentinelOne,3.1,Jan-21,Cybersecurity,United States,
Udaan,3.1,Aug-20,B2B e-commerce,India,"Vaibhav Gupta, Amod Malviya, Sujeet Kumar"
Wildlife,3+,Jan-21,Mobile gaming,Brazil,
CMR Surgical,3,Jan-17,Robotics,United Kingdom,
Traveloka,3,Apr-21,Travel,Indonesia,
ActiveCampaign,3,Jun-21,Marketing,United States,
"Age of Learning, Inc.",3,Sep-19,Education,United States,
Automattic,3,Jan-21,Internet,United States,Matt Mullenweg
Calendly,3,Jul-21,Software,United States,Tope Awotona[229]
Contentful,3,May-21,Content management system,Germany,
Forter,3,Aug-21,Software,Israel / United States,
Grafana Labs,3,Apr-21,Software,United States,
Groww,3,Jan-21,Financial technology,India,"Lalit Keshre, Harsh Jain, Ishan Bansal, Neeraj Singh"
Hinge Health,3,Feb-18,Healthcare,United States,
Horizon Robotics,3,Jun-21,Semiconductors,China,
Lucid Software,3,Oct-20,Software,United States,
MessageBird,3,Aug-21,Cloud communications,Netherlands,
Seismic,3,Oct-21,Software,United States,
Sky Mavis,3,Sep-18,Video games,Vietnam,
Souche,3,Oct-21,Marketplace,China,
TradingView,3,May-22,Finance,United Kingdom,
Aiven,3,Feb-14,Data infrastructure,Finland,"Hannu Valtonen, Heikki Nousiainen, Oskari Saarenmaa"
VANCL,3,Aug-22,E-commerce,China,
Veepee,3,Jun-18,E-commerce,France,
VIPKID,3,Aug-20,Education,China,
Warby Parker,3,Jun-21,Retail,United States,
Wefox,3,Nov-16,Insurance,Germany,
Yixia Technology,3,Mar-19,Internet media,China,
OVO,2.9,May-21,Financial technology,Indonesia,
Workrise,2.9,Aug-21,Workforce management,United States,
DriveWealth,2.85,Aug-21,Financial technology,United States,
BharatPe,2.8,Dec-20,Financial technology,India,Ashneer Grover
